claim_id,query_id,claim_text,evidence,human_label,candidate_verdict,rationale,label_status
q01#0,q01,The aluminum chassis reduces overall unit weight by twelve percent compared to steel [S1].,S1: The aluminum chassis reduces overall unit weight by twelve percent compared to steel used in the legacy design.,grounded,grounded,Claim is a contiguous verbatim span of the cited source; fully supported.,candidate
q02#0,q02,The X200 drone uses a carbon-fiber frame rated for extended field operation [S2].,S2: The X200 drone uses a carbon-fiber frame rated for extended field operation in harsh environments.,grounded,grounded,Verbatim span present in the cited source; no over-reach.,candidate
q03#0,q03,"According to the engineering team, the new battery pack lasts through extended field tests without failure [S3].","S3: According to the engineering team, the new battery pack lasts through extended field tests without failure under a range of temperatures.",grounded,grounded,Attribution matches the source verbatim including the attributed team.,candidate
q04#0,q04,Quorum DB maintains strong consistency across all replicated partitions by default [S4].,"S4: Quorum DB maintains strong consistency across all replicated partitions by default, even under network partition.",grounded,grounded,Verbatim span present; claim does not exceed the source.,candidate
q05#0,q05,"Meridian Robotics shipped 4,200 units in the third quarter [S5].","S5: In the third quarter, Meridian Robotics shipped 4,200 units to distributors across North America and Europe.",grounded,grounded,"Number 4,200 and surrounding claim both present in the source.",candidate
q06#0,q06,Revenue grew 12% year over year across the segment [S6].,S6: Company filings show that revenue grew 12% year over year across the segment during the reporting period.,grounded,grounded,12% and the growth statement match the source value and unit.,candidate
q07#0,q07,"Quorum DB sustains 100,000 writes per second on commodity hardware [S7].","S7: Quorum DB sustains 100,000 writes per second on commodity hardware in independent benchmark tests.",grounded,grounded,Throughput figure and phrasing appear verbatim in the source.,candidate
q08#0,q08,The NovaChip process reached a 78% yield in pilot production [S8].,S8: Pilot production of the NovaChip process reached a 78% yield in the most recent quarter.,grounded,grounded,78% yield in pilot production is stated in the source.,candidate
q31#0,q31,The acquisition closed at $4M in total consideration [S31].,"S31: The acquisition closed at $4,000,000 in total consideration according to the disclosed filings.",grounded,grounded,"$4M normalizes to $4,000,000, which the source states; supported.",candidate
q33#0,q33,The fleet logged 1.2 million flight hours last year [S33].,S33: The fleet logged 1.2 million flight hours last year across all operating regions.,grounded,grounded,1.2 million flight hours matches the source value.,candidate
q38#0,q38,Adverse events occurred in 3% of the treatment arm [S38].,S38: Adverse events occurred in 3% of the treatment arm during the study period.,grounded,grounded,3% adverse-event rate for the treatment arm is stated in the source.,candidate
q52#0,q52,"The trial enrolled 1,050 participants across twelve sites [S52].","S52: The trial enrolled 1,050 participants across twelve sites in three countries.",grounded,grounded,Enrollment count and site count match the source.,candidate
q09#0,q09,The upgraded rotor motor delivers longer flight time than the previous model [S9].,S9: The upgraded rotor motor delivers a longer flight time than the previous model in repeated bench testing.,grounded,grounded,Paraphrase preserves meaning; source states the same comparison.,candidate
q10#0,q10,Larkspur reduced the average onboarding time for new accounts substantially [S10].,S10: The new onboarding flow at Larkspur reduced the average onboarding time for new accounts substantially this quarter.,grounded,grounded,Claim is a faithful restatement of the cited source.,candidate
q35#0,q35,Quorum DB replicates every write to a majority of nodes before acknowledging it [S35].,"S35: Before acknowledging a write, Quorum DB replicates it to a majority of nodes in the cluster.",grounded,grounded,Reordered paraphrase; every asserted fact is in the source.,candidate
q51#0,q51,The onboarding redesign shipped to all enterprise customers this quarter [S51].,S51: The onboarding redesign shipped to all enterprise customers this quarter after a staged rollout.,grounded,grounded,Verbatim span present in the source.,candidate
q11#0,q11,"According to the safety team, the X200 passed all mandated crash tests [S11].","S11: According to the safety team, the X200 passed all mandated crash tests conducted this year.",grounded,grounded,Attributed claim matches the source verbatim.,candidate
q32#0,q32,Solar panels reduce carbon emissions across the regional grid over time [S32].,S32: Solar panels reduce carbon emissions across the regional grid over time as deployment scales.,grounded,grounded,Verbatim span present; supported.,candidate
q34#0,q34,"According to the finance team, quarterly bookings exceeded internal targets [S34].","S34: According to the finance team, quarterly bookings exceeded internal targets by a wide margin.",grounded,grounded,Attribution and claim both present verbatim.,candidate
q12#0,q12,Insulin resistance causes type 2 diabetes [S121][S122].,S121: Insulin resistance impairs glucose uptake and is a central mechanism that causes type 2 diabetes to develop. ||| S122: Type 2 diabetes develops when insulin resistance progresses and the pancreas can no longer compensate.,grounded,grounded,"Both sources independently assert the causal mechanism, not just co-occurrence.",candidate
q36#0,q36,Elevated cortisol leads to impaired sleep [S361][S362].,S361: Elevated cortisol leads to impaired sleep by delaying sleep onset and fragmenting the night. ||| S362: Impaired sleep is commonly observed together with elevated cortisol in stress studies.,grounded,grounded,Link is asserted in the sources; two distinct verbatim sources present.,candidate
q13#0,q13,We found no evidence of a safety recall affecting the X200 drone.,"Session search queries: ""recall evidence search X200 drone"" ||| ""regulatory database evidence query X200""",grounded,grounded,Two distinct targeted searches substantiate the absence.,candidate
q14#0,q14,There is no recall of the Zentara inhaler in any regulated market.,"Session search queries: ""Zentara inhaler recall search"" ||| ""FDA recall database Zentara recall""",grounded,grounded,Two distinct recall searches back the negative claim.,candidate
q37#0,q37,There is no antidote approved for the toxin in current guidelines.,"Session search queries: ""toxin antidote guideline search"" ||| ""antidote literature review toxin""",grounded,grounded,Absence of an antidote is backed by two distinct targeted searches.,candidate
q15#0,q15,"Meridian Robotics shipped 9,800 units in the third quarter [S15].","S15: In the third quarter, Meridian Robotics shipped 4,200 units to distributors across North America and Europe.",violation,violation,"Claimed 9,800 units contradicts the source's 4,200.",candidate
q41#0,q41,The compound showed a 62% response rate in phase II [S41].,S41: The compound showed a 48% response rate in phase II of the study.,violation,violation,Claimed 62% response rate does not match the source's 48%.,candidate
q16#0,q16,The segment margin was 25% in the fourth quarter [S16].,S16: Company filings list the segment margin as 25 for the fourth quarter.,violation,violation,Source says 25 (no percent unit); claiming 25% is unsupported unit drift.,candidate
q17#0,q17,"Quorum DB sustains 100,000 writes per second on commodity hardware [S17].","S17: Quorum DB sustains 10,000 writes per second on commodity hardware in benchmark tests.",violation,violation,"Claimed 100,000 is an order of magnitude above the source's 10,000.",candidate
q50#0,q50,The chip runs at 3.5 GHz base clock [S50].,S50: The chip runs at 3.2 GHz base clock in standard operating mode.,violation,violation,Claimed 3.5 GHz differs from the source's 3.2 GHz.,candidate
q18#0,q18,Meridian Robotics achieved carbon-neutral manufacturing across all facilities [S18].,S18: [NOT IN STORE],violation,violation,Cited source S18 was never retrieved this session; citation is fabricated.,candidate
q40#0,q40,The grid absorbed record solar output in July [S40].,S40: [NOT IN STORE],violation,violation,Cited S40 is not in the store; nothing to check against.,candidate
q19#0,q19,The Zentara trial reported a 62% response rate [S19].,S19: [NOT IN STORE],violation,violation,Even a plausible-sounding number is a violation when its citation was never retrieved.,candidate
q20#0,q20,The drone's carbon-fiber frame is lighter than earlier aluminum designs.,,violation,violation,Factual comparison carries no citation to any retrieved source.,candidate
q39#0,q39,"The device sold 250,000 units in its first month.",,violation,violation,Specific sales figure with no citation is unverifiable.,candidate
q21#0,q21,The X200 drone dominates the entire commercial mapping market [S21].,S21: The X200 drone includes an upgraded GPS module for improved positioning accuracy.,violation,violation,Source describes a GPS module; it says nothing about market dominance.,candidate
q42#0,q42,Larkspur is the market leader in workflow automation [S42].,S42: Larkspur released a new workflow automation feature this quarter.,violation,violation,A single feature release does not support a market-leadership claim.,candidate
q22#0,q22,There is no mention of battery defects in the X200 manual.,"Session search queries: ""X200 drone product specifications"" ||| ""X200 drone pricing information""",violation,violation,No search targeted battery defects; the absence is unsubstantiated.,candidate
q45#0,q45,There is no competing product with comparable range.,"Session search queries: ""internal roadmap review"" ||| ""pricing page capture""",violation,violation,No competitive search was run; 'no competitor' is absence of evidence.,candidate
q23#0,q23,Faster onboarding leads to higher retention [S23].,S23: The new onboarding flow reduced time-to-first-value for new accounts.,violation,violation,A relation needs a distinct source per side; only one is cited.,candidate
q43#0,q43,Higher throughput results in lower per-query cost [S43].,S43: The new engine roughly doubled sustained query throughput.,violation,violation,Only the throughput side is cited; the cost side has no distinct source.,candidate
q24#0,q24,The compound showed strong efficacy in phase II trials [S24].,S24: The compound showed strong efficacy in phase II trials with a favorable safety profile.,violation,violation,Only a model summary was captured; there is no verbatim text to ground against.,candidate
q44#0,q44,The vendor confirmed full GDPR compliance [S44].,S44: The vendor confirmed full GDPR compliance in the due-diligence questionnaire.,violation,violation,"Compliance claim rests on a summary, not verbatim source text.",candidate
q25#0,q25,Increased marketing spend drives higher customer signups [S251][S252].,S251: Marketing spend increased twenty percent quarter over quarter according to the finance team. ||| S252: Customer signups rose sharply in the weeks following the campaign launch.,violation,violation,Each source states one fact; neither asserts that spend CAUSES signups (over-association).,candidate
q26#0,q26,Higher API latency causes increased customer churn [S261][S262].,S261: Median API latency rose noticeably after the last infrastructure change. ||| S262: Customer churn increased in the same quarter across several segments.,violation,violation,Latency up and churn up are two independent facts; causation is not stated.,candidate
q48#0,q48,Remote work leads to lower operating costs [S481][S482].,S481: The company expanded remote work eligibility to most roles last year. ||| S482: Operating costs declined compared with the prior fiscal year.,violation,violation,Neither source ties the cost decline to remote work; the link is inferred.,candidate
q28#0,q28,The battery pack failed repeatedly during extended field tests [S28].,S28: The battery pack lasted through extended field tests without failure.,violation,violation,Shares words with the source but asserts the opposite outcome; not supported.,candidate
q46#0,q46,Revenue grew 12% year over year in the mapping division [S46].,S46: Revenue grew 12% year over year in the logistics division.,violation,violation,"Number matches but the division is wrong; the source is about logistics, not mapping.",candidate
q27#0,q27,The rotor upgrade extends how long the drone can stay airborne [S27].,S27: Engineers reported the new motor lets this drone remain in flight considerably longer than before.,grounded,grounded,Meaning is fully supported; wording diverges enough that lexical F1 may fall below lex_tau.,candidate
q47#0,q47,The new motor keeps the drone flying longer between charges [S47].,S47: Field reports indicate the redesigned motor extends the drone's airborne duration per charge.,grounded,grounded,Same claim in different words; supported despite low lexical overlap.,candidate
q30#0,q30,We found no evidence of fraud in the audited accounts.,"Session search queries: ""evidence data loss backup review"" ||| ""evidence latency regression trace""",violation,violation,"The two searches mention 'evidence' but concern data loss and latency, not fraud; the absence of fraud is not actually substantiated.",candidate
q49#0,q49,We found no independent replication reported for the result.,"Session search queries: ""replication study search result"" ||| ""replication literature review result""",grounded,grounded,Two distinct replication searches substantiate 'no replication'; the gate's head-noun ('independent') misses them.,candidate
q29#0,q29,"The Zentara trial enrolled 4,200 patients [S29].","S29: In the third quarter, Meridian Robotics shipped 4,200 units to distributors.",violation,violation,"The number 4,200 appears in the source but describes shipped units, not enrolled patients.",candidate
